DATE,precip,temp_max,temp_min,target,month_max,month_day_max,max_min,monthly_avg,weekly_avg,day_of_year_avg
29/08/1960,0,69,55,66,72.2,1.046376812,1.254545455,72.51724138,69,69
30/08/1960,0,66,55,68,72.3,1.095454545,1.2,72.3,67.5,66
31/08/1960,0,68,55,63,72.26666667,1.062745098,1.236363636,72.16129032,67.66666667,68
01/09/1960,0,63,55,70,72.16666667,1.145502646,1.145454545,63,66.5,63
02/09/1960,0,70,55,67,72.33333333,1.033333333,1.272727273,66.5,67.2,70
03/09/1960,0,67,54,74,72.1,1.076119403,1.240740741,66.66666667,67.16666667,67
04/09/1960,0,74,50,79,72.1,0.974324324,1.48,68.5,68.14285714,74
05/09/1960,0,79,52,75,72.16666667,0.91350211,1.519230769,70.6,79,79
06/09/1960,0,75,51,72,72.43333333,0.965777778,1.470588235,71.33333333,77,75
07/09/1960,0,72,51,75,72.63333333,1.008796296,1.411764706,71.42857143,75.33333333,72
08/09/1960,0,75,56,81,72.93333333,0.972444444,1.339285714,71.875,75.25,75
09/09/1960,0,81,59,86,73.33333333,0.905349794,1.372881356,72.88888889,76.4,81
10/09/1960,0,86,59,79,73.76666667,0.857751938,1.457627119,74.2,78,86
11/09/1960,0,79,60,72,74,0.936708861,1.316666667,74.63636364,78.14285714,79
12/09/1960,0,72,54,72,74,1.027777778,1.333333333,74.41666667,72,72
13/09/1960,0,72,52,65,74,1.027777778,1.384615385,74.23076923,72,72
14/09/1960,0,65,53,66,73.66666667,1.133333333,1.226415094,73.57142857,69.66666667,65
15/09/1960,0,66,59,67,73.03333333,1.106565657,1.118644068,73.06666667,68.75,66
16/09/1960,0,67,54,72,72.46666667,1.08159204,1.240740741,72.6875,68.4,67
17/09/1960,0,72,55,71,72.26666667,1.003703704,1.309090909,72.64705882,69,72
18/09/1960,0,71,52,64,71.93333333,1.01314554,1.365384615,72.55555556,69.28571429,71
19/09/1960,0,64,51,67,71.73333333,1.120833333,1.254901961,72.10526316,64,64
20/09/1960,0,67,50,72,71.7,1.070149254,1.34,71.85,65.5,67
21/09/1960,0,72,49,73,71.7,0.995833333,1.469387755,71.85714286,67.66666667,72
22/09/1960,0,73,54,82,71.66666667,0.98173516,1.351851852,71.90909091,69,73
23/09/1960,0,82,48,91,72.06666667,0.878861789,1.708333333,72.34782609,71.6,82
24/09/1960,0,91,52,93,72.43333333,0.795970696,1.75,73.125,74.83333333,91
25/09/1960,0,93,56,73,73.2,0.787096774,1.660714286,73.92,77.42857143,93
26/09/1960,0,73,57,68,73.23333333,1.003196347,1.280701754,73.88461538,73,73
27/09/1960,0,68,56,65,73.06666667,1.074509804,1.214285714,73.66666667,70.5,68
28/09/1960,0,65,55,66,72.93333333,1.122051282,1.181818182,73.35714286,68.66666667,65
29/09/1960,0,66,56,61,72.93333333,1.105050505,1.178571429,73.10344828,68,66
30/09/1960,0,61,56,63,72.7,1.191803279,1.089285714,72.7,66.6,61
01/10/1960,0,63,56,66,72.7,1.153968254,1.125,63,66,63
